"year","value","variable"
"2014",2595,"pollen surface sample"
"2015",2599,"pollen surface sample"
"2016",2599,"pollen surface sample"
"2017",2599,"pollen surface sample"
"2007",0,"stable isotope"
"2008",0,"stable isotope"
"2009",0,"stable isotope"
"2010",0,"stable isotope"
"2011",0,"stable isotope"
"2012",0,"stable isotope"
"2013",0,"stable isotope"
"2014",1,"stable isotope"
"2015",1,"stable isotope"
"2016",1,"stable isotope"
"2017",1,"stable isotope"
"2007",0,"testate amoebae"
"2008",0,"testate amoebae"
"2009",0,"testate amoebae"
"2010",0,"testate amoebae"
"2011",0,"testate amoebae"
"2012",0,"testate amoebae"
"2013",0,"testate amoebae"
"2014",5,"testate amoebae"
"2015",7,"testate amoebae"
"2016",7,"testate amoebae"
"2017",7,"testate amoebae"
"2007",3245,"vertebrate fauna"
"2008",3268,"vertebrate fauna"
"2009",3269,"vertebrate fauna"
"2010",3269,"vertebrate fauna"
"2011",3271,"vertebrate fauna"
"2012",3315,"vertebrate fauna"
"2013",3367,"vertebrate fauna"
"2014",3455,"vertebrate fauna"
"2015",3547,"vertebrate fauna"
"2016",3547,"vertebrate fauna"
"2017",3547,"vertebrate fauna"
"2007",0,"water chemistry"
"2008",0,"water chemistry"
"2009",0,"water chemistry"
"2010",0,"water chemistry"
"2011",0,"water chemistry"
"2012",170,"water chemistry"
"2013",445,"water chemistry"
"2014",1057,"water chemistry"
"2015",1317,"water chemistry"
"2016",1317,"water chemistry"
"2017",1317,"water chemistry"
"2007",0,"X-ray diffraction"
"2008",0,"X-ray diffraction"
"2009",0,"X-ray diffraction"
"2010",0,"X-ray diffraction"
"2011",0,"X-ray diffraction"
"2012",0,"X-ray diffraction"
"2013",0,"X-ray diffraction"
"2014",1,"X-ray diffraction"
"2015",1,"X-ray diffraction"
"2016",1,"X-ray diffraction"
"2017",1,"X-ray diffraction"
"2007",0,"X-ray fluorescence"
"2008",0,"X-ray fluorescence"
"2009",0,"X-ray fluorescence"
"2010",0,"X-ray fluorescence"
"2011",0,"X-ray fluorescence"
"2012",0,"X-ray fluorescence"
"2013",1,"X-ray fluorescence"
"2014",1,"X-ray fluorescence"
"2015",1,"X-ray fluorescence"
"2016",1,"X-ray fluorescence"
"2017",1,"X-ray fluorescence"
"2007",0,"X-ray spectroscopy"
"2008",0,"X-ray spectroscopy"
"2009",0,"X-ray spectroscopy"
"2010",0,"X-ray spectroscopy"
"2011",0,"X-ray spectroscopy"
"2012",0,"X-ray spectroscopy"
"2013",2,"X-ray spectroscopy"
"2014",2,"X-ray spectroscopy"
"2015",2,"X-ray spectroscopy"
"2016",2,"X-ray spectroscopy"
"2017",2,"X-ray spectroscopy"
